Budget (in dollars),Age,Gender,Education_Level,With children?,Recommended_Activity
3258.0,29.0,Transgender,Bachelor’s Degree,0,Stay in: Watch calming TV
1741.0,89.0,Other,Bachelor’s Degree,NA,Play: Visit a movie theater
140.0,22.0,NA,Other,0,Play: Visit a movie theater
179.0,23.0,Non-binary,Other,0,Play: Visit a movie theater
3479.0,79.0,Non-binary,Master’s Degree,1,Learn: Visit a library
3335.0,35.0,Male,Bachelor’s Degree,1,Play: Go shopping
4044.0,42.0,Non-binary,Master’s Degree,0,Explore: Go sightseeing
3110.0,33.0,NA,Bachelor’s Degree,NA,Learn: Visit a library
2410.0,30.0,Transgender,Master’s Degree,1,Stay in: Color
4133.0,43.0,Transgender,Master’s Degree,1,Stay in: Color
226.0,19.0,NA,NA,1,Play: Visit a movie theater
59.0,18.0,Other,High School Grad,1,Play: Go shopping
74.0,22.0,NA,NA,NA,Play: Go shopping
181.0,20.0,Other,High School Grad,0,Play: Go shopping
4181.0,41.0,Transgender,Bachelor’s Degree,NA,Stay in: Play a game
291.0,22.0,NA,Other,0,Play: Visit a movie theater
35.0,28.0,Male,NA,NA,Stay in: Watch calming TV
273.0,18.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
2620.0,57.0,Other,Bachelor’s Degree,1,Stay in: Play a game
436.0,40.0,Male,Bachelor’s Degree,0,Learn: Visit a library
270.0,20.0,NA,Other,NA,Play: Go shopping
251.0,19.0,Non-binary,NA,0,Play: Go shopping
306.0,31.0,NA,Master’s Degree,NA,Explore: Visit a park
946.0,30.0,Male,Bachelor’s Degree,0,Stay in: Watch calming TV
2841.0,80.0,Female,Bachelor’s Degree,1,Stay in: Color
1333.0,43.0,Non-binary,Master’s Degree,1,Stay in: Play a game
4862.0,70.0,Non-binary,Master’s Degree,NA,Play: Go shopping
171.0,83.0,Non-binary,Other,0,Stay in: Play a game
37.0,63.0,Female,NA,1,Learn: Visit a library
2681.0,74.0,Male,Master’s Degree,0,Stay in: Play a game
4747.0,39.0,Non-binary,Bachelor’s Degree,NA,Explore: Go sightseeing
2681.0,32.0,Female,Bachelor’s Degree,1,Stay in: Play a game
146.0,20.0,Transgender,Other,0,Play: Visit a movie theater
122.0,18.0,Non-binary,NA,0,Play: Go shopping
3547.0,49.0,Female,Master’s Degree,1,Explore: Visit a park
2273.0,89.0,Male,Bachelor’s Degree,1,Explore: Hike
284.0,20.0,Other,Other,1,Play: Go shopping
338.0,63.0,Non-binary,Master’s Degree,0,Stay in: Color
132.0,19.0,Female,High School Grad,1,Play: Go shopping
57.0,21.0,Male,NA,0,Play: Visit a movie theater
4387.0,40.0,Non-binary,Master’s Degree,0,Stay in: Play a game
184.0,21.0,Female,Other,NA,Play: Go shopping
127.0,22.0,Non-binary,NA,NA,Play: Go shopping
15.0,18.0,Other,High School Grad,0,Play: Visit a movie theater
103.0,28.0,Male,Did Not Graduate HS,1,Stay in: Watch calming TV
41.0,19.0,NA,High School Grad,NA,Play: Go shopping
2894.0,60.0,NA,Bachelor’s Degree,1,Stay in: Color
1795.0,26.0,Male,Master’s Degree,1,Play: Go shopping
159.0,22.0,Other,Other,1,Play: Visit a movie theater
3737.0,43.0,Male,Bachelor’s Degree,1,Stay in: Play a game
84.0,19.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
77.0,19.0,Male,High School Grad,1,Play: Go shopping
80.0,20.0,Male,Did Not Graduate HS,0,Play: Visit a movie theater
262.0,20.0,NA,Other,NA,Play: Go shopping
607.0,86.0,Transgender,Master’s Degree,0,Play: Visit a movie theater
2466.0,32.0,Transgender,Master’s Degree,NA,Explore: Hike
67.0,23.0,Male,Did Not Graduate HS,NA,Play: Visit a movie theater
1006.0,90.0,Female,Master’s Degree,1,Stay in: Play a game
2915.0,25.0,Male,Bachelor’s Degree,NA,Explore: Visit a park
166.0,22.0,Male,Did Not Graduate HS,NA,Play: Visit a movie theater
2554.0,35.0,Male,Bachelor’s Degree,1,Play: Visit a movie theater
4251.0,27.0,NA,Master’s Degree,1,Explore: Go sightseeing
205.0,21.0,NA,Did Not Graduate HS,1,Play: Visit a movie theater
1209.0,30.0,Non-binary,Bachelor’s Degree,NA,Play: Visit a movie theater
4636.0,43.0,Transgender,Master’s Degree,1,Play: Go shopping
295.0,19.0,Female,High School Grad,1,Play: Go shopping
690.0,71.0,Transgender,Master’s Degree,0,Stay in: Color
30.0,20.0,Transgender,NA,1,Play: Go shopping
3397.0,45.0,Male,Bachelor’s Degree,1,Explore: Visit a park
3757.0,28.0,Non-binary,Master’s Degree,NA,Play: Visit a movie theater
3178.0,31.0,Male,Bachelor’s Degree,NA,Stay in: Play a game
239.0,22.0,NA,High School Grad,1,Play: Visit a movie theater
86.0,21.0,Male,NA,1,Play: Visit a movie theater
94.0,18.0,Non-binary,NA,1,Play: Go shopping
4956.0,52.0,Other,Bachelor’s Degree,0,Stay in: Watch calming TV
184.0,20.0,Female,High School Grad,1,Play: Go shopping
250.0,19.0,Transgender,NA,0,Play: Go shopping
125.0,19.0,Other,Other,0,Play: Go shopping
298.0,23.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
2922.0,32.0,Female,Master’s Degree,1,Play: Visit a movie theater
3963.0,75.0,Non-binary,Bachelor’s Degree,NA,Learn: Visit a library
5.0,19.0,Non-binary,NA,0,Play: Visit a movie theater
122.0,20.0,Transgender,NA,NA,Play: Visit a movie theater
89.0,22.0,NA,NA,0,Play: Visit a movie theater
3684.0,39.0,NA,Master’s Degree,NA,Explore: Go sightseeing
9.0,21.0,Transgender,High School Grad,0,Play: Go shopping
4885.0,36.0,Non-binary,Bachelor’s Degree,1,Play: Visit a movie theater
213.0,18.0,Female,Did Not Graduate HS,1,Play: Go shopping
2699.0,39.0,Transgender,Master’s Degree,NA,Stay in: Color
